KODI I PRODUKTIT,NAME,PRICE,MARKA,MODELI,GARANCIA,Category,Child category 1,Child category 2
B0MAWUGPBAM,Mouse Wireless Ugreen Portable Black,1190,UGREEN,A18238,0,KOMPJUTERA,AKSESORE KOMPJUTERI,
B0MBLATARIACST0003,Mbajtese Laptopi/Tableti Ringke ACST0003,990,RINGKE,ACST0003,0,KOMPJUTERA,TABLETA,AKSESORE TABLETI
B0PAACCL12,Dezinfektant ekrani Acme CL12,790,ACME,CL12,0,TV & AUDIO,TELEVIZORE,AKSESORE TV
B0PJLAKARLEGX20L2935465WPK,Karikues laptopi Lenovo GX20L29354 65W PK,6990,LENOVO,GX20L29354,0,KOMPJUTERA,LAPTOP,AKSESORE LAPTOPI
B0PRPHPGGZP02350,Photo Printer Paper G&G GG-ZP023-50,1990,G&G,GG-ZP023-50,0,KOMPJUTERA,PRINTERA,AKSESORE PRINTERI
B0ROMBRB9412NDI,Router MikroTik Board hAP lite RB941-2nd,4490,MIKROTIK,RB941-2ND,12,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0RONWAX1500GRNX10I,Router Netis Wireless AX1500 Gigabit Router NX10,4990,NETIS,NX10,12,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0RONWNEE1I,Router Netis Wireless N Extender E1+,2390,NETIS,E1+,12,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0ROWMAC12GAC1200AM,Router Wireless MERCUSYS AC12G AC1200 AM,4990,MERCUSYS,MERCUSYS AC12G AC1200,36,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0ROWTPLAC1200AC24I,Router Wireless TP-LINK AC750 Archer C24,3490,TP-LINK,ARCHER C24,24,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0ROWTPLAC1200AC50I,Router Wireless TP-LINK AC1200 Archer C50,4590,TP-LINK,ARCHER C50,24,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0ROWTPLAC1200AC54I,Router Wireless TP-LINK AC1200 Archer C54,3990,TP-LINK,ARCHER C54,24,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0ROWTPLAC1200AC64I,Router Wireless TP-LINK AC1200 Archer C64,5490,TP-LINK,ARCHER C64,24,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0ROWTPLAC1200AC80I,Router Wireless TP-LINK AC1900 Archer C80,7990,TP-LINK,ARCHER C80,24,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0ROWTPLAC1200MUMIMOAC6I,Router Wireless TP-LINK AC1200 MU-MIMO ARCHER C6,6190,TP-LINK,ARCHER C6,24,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0ROWTPLAC1300AT4UI,Router Wireless TP-LINK AC1300 Archer T4U,3990,TP-LINK,ARCHER T4U,12,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
